town_code,region_code,ID Provincia,ID Municipio,name,population,census,votes,null_votes,blank_votes,scrutinized,Fecha
33017,03,33,017,Castropol,3696,3221,2173,39,57,100,Datos de las 21:27 del 24 de Mayo de 2015
33018,03,33,018,Coaña,3436,2926,2032,52,49,100,Datos de las 23:00 del 24 de Mayo de 2015
33019,03,33,019,Colunga,3569,3130,2083,28,41,100,Datos de las 21:57 del 24 de Mayo de 2015
33020,03,33,020,Corvera de Asturias,16153,13383,8368,90,131,100,Datos de las 21:42 del 24 de Mayo de 2015
33021,03,33,021,Cudillero,5369,4646,3117,143,98,100,Datos de las 22:43 del 24 de Mayo de 2015
33022,03,33,022,Degaña,1110,923,687,17,13,100,Datos de las 22:36 del 24 de Mayo de 2015
33023,03,33,023,"Franco, El",3901,3344,2260,104,101,100,Datos de las 23:00 del 24 de Mayo de 2015
33024,03,33,024,Gijón,275735,228612,142859,1281,2015,100,Datos de las 22:54 del 24 de Mayo de 2015
33025,03,33,025,Gozón,10675,9342,5613,92,178,100,Datos de las 22:43 del 24 de Mayo de 2015
33026,03,33,026,Grado,10471,8386,4935,84,146,"95,84",Datos de las 22:09 del 24 de Mayo de 2015
33027,03,33,027,Grandas de Salime,943,870,684,10,16,100,Datos de las 22:00 del 24 de Mayo de 2015
33028,03,33,028,Ibias,1516,1337,860,15,12,100,Datos de las 22:09 del 24 de Mayo de 2015
33029,03,33,029,Illano,409,367,287,5,1,100,Datos de las 21:57 del 24 de Mayo de 2015
33030,03,33,030,Illas,1040,909,694,4,10,100,Datos de las 21:18 del 24 de Mayo de 2015
33031,03,33,031,Langreo,42403,35918,20389,449,498,100,Datos de las 22:39 del 24 de Mayo de 2015
33032,03,33,032,Laviana,13791,11622,7237,206,124,100,Datos de las 22:31 del 24 de Mayo de 2015
33033,03,33,033,Lena,11949,10079,6244,94,133,100,Datos de las 23:45 del 24 de Mayo de 2015
33035,03,33,035,Llanera,14030,11421,7325,105,127,100,Datos de las 23:00 del 24 de Mayo de 2015
33036,03,33,036,Llanes,13960,11528,7982,132,144,100,Datos de las 23:06 del 24 de Mayo de 2015
33037,03,33,037,Mieres,41013,35351,21081,302,335,100,Datos de las 22:29 del 24 de Mayo de 2015
33038,03,33,038,Morcín,2811,2336,1720,21,21,100,Datos de las 22:36 del 24 de Mayo de 2015
33039,03,33,039,Muros de Nalón,1880,1693,1174,24,24,100,Datos de las 21:42 del 24 de Mayo de 2015
33040,03,33,040,Nava,5444,4599,3011,43,87,100,Datos de las 22:09 del 24 de Mayo de 2015
33041,03,33,041,Navia,8772,7336,4669,90,101,100,Datos de las 22:36 del 24 de Mayo de 2015
33042,03,33,042,Noreña,5422,4383,2778,43,85,100,Datos de las 21:51 del 24 de Mayo de 2015
33043,03,33,043,Onís,764,686,501,13,8,100,Datos de las 21:39 del 24 de Mayo de 2015
33044,03,33,044,Oviedo,223765,180066,108606,1142,2036,100,Datos de las 23:21 del 24 de Mayo de 2015
33045,03,33,045,Parres,5590,4561,2990,75,87,100,Datos de las 22:13 del 24 de Mayo de 2015
33046,03,33,046,Peñamellera Alta,570,522,434,7,4,100,Datos de las 21:42 del 24 de Mayo de 2015
33047,03,33,047,Peñamellera Baja,1300,1154,910,15,16,100,Datos de las 22:06 del 24 de Mayo de 2015
33048,03,33,048,Pesoz,173,155,131,7,2,100,Datos de las 21:21 del 24 de Mayo de 2015
33049,03,33,049,Piloña,7530,6495,4154,65,65,100,Datos de las 21:51 del 24 de Mayo de 2015
33050,03,33,050,Ponga,663,612,506,4,3,100,Datos de las 23:39 del 24 de Mayo de 2015
33051,03,33,051,Pravia,8799,7276,4699,141,146,100,Datos de las 22:03 del 24 de Mayo de 2015
33052,03,33,052,Proaza,786,739,579,8,9,100,Datos de las 21:45 del 24 de Mayo de 2015
33053,03,33,053,Quirós,1277,1163,831,25,16,100,Datos de las 21:36 del 24 de Mayo de 2015
